hash_id,titre,entreprise,lieu,secteur,description,lien,date_scraping,source
7abce72a7156e45f,Mid/Senior AI Video Artist,EverAI,Worldwide,Informatique / Tech,"<div class=""h1"" style="" line-height: 28px; padding: 0px; font-weight: 500; color: rgb(55, 62, 77); "">Our Vision &amp; Products</div><p style=""line-height: 24px; margin: 8px 0px 0px; padding: 0px; color: rgb(55, 62, 77);  min-height: 1.5em;""><em><span style=""font-weight: 600;"">🚀 EverAI — Building the Future of AI Companionship</span></em></p><p style=""line-height: 24px; margin: 8px 0px 0px; padding",https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994,2026-04-26,remotive
2ef946edfca15593,Content Reviewer - US,TELUS Digital,USA,Informatique / Tech,"<p class=""figma-padding-bottom-32 tw-border-b tw-border-[#E3E6E8]"" style=""border-width: 0px 0px 1px; border-color: #e3e6e8; --tw-shadow: 0 0 #0000; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(59 130 246 / .5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y",https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990,2026-04-26,remotive
01cefb007b4fbc6e,AI Engineer,Dry Ground AI,"Brazil, Colombia, Philippines",Informatique / Tech,"<p class=""MsoNormal"">We are seeking a versatile and highly skilled AI Engineer to join our fast-growing Full-Stack AI Solutions company. This role blends the expertise of building cutting-edge AI/ML models with the practical know-how of automation and agentic system integrations. You will design, develop, deploy, and optimize intelligent solutions that leverage the power of generative AI, automati",https://remotive.com/remote-jobs/ai-ml/ai-engineer-2089958,2026-04-26,remotive
a22b6db81b69ca4a,Customer Retention Manager,AutoHDR,USA,Informatique / Tech,"<div class=""h5""><strong>Role: </strong>Customer Success Representative</div>
<p>AutoHDR is the fastest growing AI startup in real estate media. We train custom image editing models for real estate, and are currently editing 25% of all US real estate listings!</p>
<p>Join our team and work with an exceptional team to build cutting edge products and continue growing 20% month over month!</p>
<p>Our ",https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656,2026-04-26,remotive
7bc8183997fbcec5,Customer Support Representative,AutoHDR,USA,Informatique / Tech,"<div class=""h3"">Company Description</div>
<p> </p>
<p>AutoHDR is an AI real estate photo editing platform. We launched less than a year ago and already edit 25% of U.S. real estate listings.</p>
<p> </p>
<p>We’re building a category-defining product and looking for people who want to help us scale it fast. This is an early hire on a small team of A players changing the industry.</p>
<p> </p>
<div ",https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655,2026-04-26,remotive
25c4aafa726b8bd4,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",Informatique / Tech,"<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"" style=""border-color: oklch(0.3039 0.04 213.68 / 0.16); scrollbar-color: initial; scrollbar-width: initial; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-scroll-snap-str",https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-04-26,remotive
5e700a5ad977eca6,Senior Independent Software Developer,A.Team,"Americas, Europe, Israel",Informatique / Tech,"<p style=""text-size-adjust: 100%; overflow-wrap: break-word;""><em>You must be located in the Americas, Europe, or Israel to apply.<br></em><br><br><a href=""https://build.a.team/remotivereferral"" rel=""nofollow"">A·Team</a> is a VC-backed, stealth, application-only home on the internet for senior independent software builders to team up with hand-picked, high-growth companies on their next big thing.",https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-04-26,remotive
4bfbc985553cbf25,Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania",Informatique / Tech,"<p>Are you a talented Senior Developer looking for a remote job that lets you show your skills and get decent compensation? Look no further than <a href=""https://lemon.io/for-developers/?utm_source=remotive&amp;utm_medium=job_ad&amp;utm_campaign=supply_en_react_python/golang_apr_2026_job_ad"" rel=""nofollow"" target=""_self"">Lemon.io</a> — the marketplace that connects you with hand-picked startups in",https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711,2026-04-26,remotive
c44fbaf9100fef18,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",Informatique / Tech,"<p class=""h1"" dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 24pt; margin-bottom: 0pt; padding: 0pt 0pt 6pt 0pt;""><span style=""color: #000000; font-weight: bold; white-space-collapse: preserve;"">About Mitre Media</span></p>
<p dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 0pt; margin-bottom: 0pt; padding: 0pt 0pt 18pt 0pt;""><span style=""colo",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-04-26,remotive
3673a4a545130ca7,Tech Lead Databricks Data Engineer,Mitre Media,"USA, Canada, USA timezones",Informatique / Tech,"<div class=""h2"" dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 18pt; margin-bottom: 0pt; padding: 0pt 0pt 4pt 0pt;""><span style=""color: #000000; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">About Mitre Media</span></div>
<p dir=""ltr"" style=""line-height",https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,2026-04-26,remotive
